Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
29/11/2017,61.75,63.00,61.50,62.00, +0.50, +0.81,"126,988,097","7,892,994.51"
28/11/2017,59.00,61.50,59.00,61.50, +3.00, +5.13,"137,531,422","8,317,506.42"
27/11/2017,57.75,58.50,57.75,58.50, +0.50, +0.86,"14,336,369","834,093.86"
24/11/2017,58.75,58.75,57.50,58.00, -0.75, -1.28,"25,103,667","1,460,018.75"
23/11/2017,59.00,59.00,58.50,58.75, 0.00, 0.00,"12,235,126","719,224.62"
22/11/2017,59.25,59.25,58.75,58.75, -0.25, -0.42,"18,119,510","1,068,263.87"
21/11/2017,58.25,59.00,58.25,59.00, +1.00, +1.72,"35,294,682","2,070,773.32"
20/11/2017,58.50,58.50,58.00,58.00, -0.25, -0.43,"7,376,231","428,565.06"
17/11/2017,57.50,58.50,57.50,58.25, +1.00, +1.75,"27,728,763","1,607,517.16"
16/11/2017,57.25,57.25,56.75,57.25, +0.25, +0.44,"26,109,850","1,491,090.93"
15/11/2017,57.50,57.50,57.00,57.00, -0.50, -0.87,"20,233,085","1,156,832.26"
14/11/2017,57.00,57.75,56.75,57.50, +0.50, +0.88,"34,836,408","1,998,924.58"
13/11/2017,57.50,57.75,56.75,57.00, -0.75, -1.30,"41,998,599","2,404,568.17"
10/11/2017,58.00,58.25,57.25,57.75, -0.25, -0.43,"40,828,913","2,354,304.23"
09/11/2017,58.75,58.75,57.75,58.00, -0.50, -0.85,"45,616,917","2,648,294.17"
08/11/2017,58.75,58.75,58.25,58.50, 0.00, 0.00,"13,507,600","789,863.23"
07/11/2017,58.00,58.50,58.00,58.50, +0.50, +0.86,"22,221,067","1,294,935.11"
06/11/2017,58.50,58.75,57.75,58.00, -0.50, -0.85,"42,155,605","2,448,685.67"
03/11/2017,58.50,58.75,58.00,58.50, +0.25, +0.43,"13,536,606","791,252.45"
02/11/2017,58.25,58.75,58.00,58.25, 0.00, 0.00,"19,640,495","1,145,535.70"
01/11/2017,59.50,59.75,58.00,58.25, -1.25, -2.10,"50,946,238","2,995,272.14"
31/10/2017,58.75,59.75,58.50,59.50, +1.00, +1.71,"63,628,431","3,780,978.73"
