Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
29/11/2017,197.50,203.00,197.50,203.00, +5.50, +2.78,"8,517,851","1,714,696.93"
28/11/2017,197.50,199.00,197.50,197.50, -1.00, -0.50,"1,497,695","296,543.16"
27/11/2017,199.00,199.00,197.50,198.50, -1.00, -0.50,"1,790,308","354,717.64"
24/11/2017,198.50,199.50,197.50,199.50, +0.50, +0.25,"2,329,309","462,128.88"
23/11/2017,199.50,199.50,197.50,199.00, -0.50, -0.25,"2,216,187","439,631.95"
22/11/2017,196.50,200.00,196.50,199.50, +3.50, +1.79,"5,632,651","1,119,559.50"
21/11/2017,196.00,196.50,195.50,196.00, +0.50, +0.26,"2,336,823","458,404.45"
20/11/2017,197.00,197.50,195.50,195.50, -1.00, -0.51,"2,772,018","544,515.31"
17/11/2017,197.00,197.50,196.00,196.50, +0.50, +0.26,"6,453,035","1,270,102.48"
16/11/2017,194.00,198.00,194.00,196.00, +3.00, +1.55,"10,777,926","2,119,549.29"
15/11/2017,191.50,193.00,191.00,193.00, 0.00, 0.00,"1,808,951","347,230.60"
14/11/2017,190.50,193.00,190.00,193.00, +2.50, +1.31,"2,192,801","420,920.51"
13/11/2017,190.00,190.50,189.00,190.50, -1.00, -0.52,"1,708,183","324,144.41"
10/11/2017,191.50,192.00,190.00,191.50, 0.00, 0.00,"1,222,151","233,103.39"
09/11/2017,191.50,192.50,191.00,191.50, +0.50, +0.26,"1,642,934","314,750.22"
08/11/2017,190.00,193.00,189.50,191.00, +1.00, +0.53,"3,047,545","582,430.76"
07/11/2017,192.00,192.00,189.50,190.00, -2.00, -1.04,"3,027,315","576,660.83"
06/11/2017,191.00,192.00,189.50,192.00, 0.00, 0.00,"2,386,456","454,713.90"
03/11/2017,191.50,192.00,190.00,192.00, 0.00, 0.00,"3,192,426","609,764.26"
02/11/2017,193.00,193.50,191.50,192.00, -2.50, -1.29,"3,104,291","596,700.16"
01/11/2017,193.00,195.00,192.00,194.50, +1.50, +0.78,"4,847,728","939,480.13"
31/10/2017,189.50,193.00,189.00,193.00, +4.00, +2.12,"4,774,796","914,418.32"
30/10/2017,189.50,190.00,187.50,189.00, +0.50, +0.27,"3,952,867","746,462.54"
27/10/2017,188.50,189.50,187.50,188.50, +0.50, +0.27,"2,917,999","549,821.35"
25/10/2017,190.50,191.00,188.00,188.00, -2.00, -1.05,"3,906,975","738,534.61"
24/10/2017,192.50,193.50,190.00,190.00, -2.50, -1.30,"2,584,226","495,025.88"
20/10/2017,187.50,192.50,187.00,192.50, +3.00, +1.58,"3,342,890","636,075.44"
19/10/2017,192.50,193.50,189.50,189.50, -4.00, -2.07,"3,754,059","718,997.53"
18/10/2017,195.00,195.50,193.00,193.50, -2.50, -1.28,"2,976,416","578,236.15"
17/10/2017,195.00,196.50,194.50,196.00, +1.50, +0.77,"6,943,154","1,357,806.37"
16/10/2017,193.00,195.00,191.50,194.50, +5.50, +2.91,"16,138,755","3,125,281.67"
