   5:NE  (r,tmax)
DIM=       1
NUM=      50
  9.9999998E-03  2.1892013E-01
  2.9999999E-02  2.1679671E-01
  5.0000001E-02  2.1381669E-01
  7.0000000E-02  2.1019636E-01
  9.0000004E-02  2.0604779E-01
  1.1000000E-01  2.0144735E-01
  1.3000000E-01  1.9645657E-01
  1.5000001E-01  1.9112839E-01
  1.7000000E-01  1.8551178E-01
  1.9000000E-01  1.7965265E-01
  2.0999999E-01  1.7359497E-01
  2.3000000E-01  1.6738099E-01
  2.5000000E-01  1.6105415E-01
  2.7000001E-01  1.5466118E-01
  2.8999999E-01  1.4825216E-01
  3.1000000E-01  1.4187995E-01
  3.3000001E-01  1.3559902E-01
  3.4999999E-01  1.2946568E-01
  3.7000000E-01  1.2353004E-01
  3.8999999E-01  1.1782479E-01
  4.1000000E-01  1.1235457E-01
  4.3000001E-01  1.0709400E-01
  4.4999999E-01  1.0200148E-01
  4.7000000E-01  9.7032286E-02
  4.9000001E-01  9.2147037E-02
  5.0999999E-01  8.7315090E-02
  5.2999997E-01  8.2515210E-02
  5.5000001E-01  7.7734843E-02
  5.6999999E-01  7.2968900E-02
  5.8999997E-01  6.8218552E-02
  6.1000001E-01  6.3490033E-02
  6.3000000E-01  5.8793731E-02
  6.4999998E-01  5.4143395E-02
  6.7000002E-01  4.9555518E-02
  6.9000000E-01  4.5048837E-02
  7.0999998E-01  4.0643923E-02
  7.3000002E-01  3.6362898E-02
  7.5000000E-01  3.2229468E-02
  7.6999998E-01  2.8268764E-02
  7.9000002E-01  2.4506025E-02
  8.1000000E-01  2.0964406E-02
  8.2999998E-01  1.7664032E-02
  8.5000002E-01  1.4622093E-02
  8.7000000E-01  1.1852837E-02
  8.8999999E-01  9.3674082E-03
  9.1000003E-01  7.1736118E-03
  9.3000001E-01  5.2756495E-03
  9.4999999E-01  3.6737043E-03
  9.7000003E-01  2.3638045E-03
  9.9000001E-01  1.3377995E-03
